Name,Tags,Effect,Cost,Crafting
Bandage,"Consumable, Medicine, Non-Magic, Tiny","Target a Creature, cannot target undead or constructs. Heal the target 2 Health + Half your Medicine Rounded up. 
Can be crafted with Medicine or Crafting Rolls.",,
Medkit,"Consumable, Medicine, Non-Magic, Small","Target a Creature, cannot target undead or constructs. Heal the target for your Medicine + Level.
Can be crafted with Medicine or Crafting Rolls.",,
Healing Spray,"Consumable, Medicine, Non-Magic, Tiny","Requires Medicine 3 to be used properly. Target a Creature, cannot target undead or constructs. Heal the target 2 + Level Health. 
Can be crafted with Medicine or Crafting Rolls.",,
Smoke Grenade,"Consumable, Non-Magic, Tiny",Throw Range 6. Cast Summon Fog wherever it lands. The fog does not end if you take damage.,,
Frag Grenade,"Consumable, Non-Magic, Tiny",Throw Range 6. Burst 1 centered wherever it lands. Make a Core Attack roll against all creatures within the area. Deals 1 damage.,,
Flashbang,"Consumable, Non-Magic, Tiny",Throw Range 6. Cast Lightshow wherever it lands. Make a Core Attack roll for the attack instead of Soul.,,
Potion of Heart,"Consumable, Non-Magic, Potion, Tiny",Gain 4 Temporary Health. This goes away at the end of the next rest or when used.,,
Potion of Body,"Consumable, Non-Magic, Potion, Tiny",Gain 1 Body for 30 seconds (3 turns).,,
Potion of Mind,"Consumable, Non-Magic, Potion, Tiny",Gain 1 Mind for 30 seconds (3 turns).,,
Potion of Soul,"Consumable, Non-Magic, Potion, Tiny",Gain 1 Soul. This effect goes away after 3 turns (30 sec).,,
Potion of StoneSkin,"Consumable, Non-Magic, Potion, Tiny",Gain -1 Damage when Hit for 30 seconds (3 turns).,,
Potion of the Ghost,"Consumable, Non-Magic, Potion, Tiny",Gain Intangible for 60 seconds (6 turns).,,
Potion of Flight,"Consumable, Non-Magic, Potion, Tiny",Gain Flight (Can move its Speed in the air) for 60 seconds (6 turns).,,
Potion of Soul Stich,"Consumable, Non-Magic, Potion, Tiny",Cleans 3.,,
Holy Water,"Consumable, Non-Magic, Potion, Tiny",Deals 1 damage to Undead when in contact (this does not remove the Holy water). This is needed to craft a Potion of Life.,,
Sleeping Poison,"Consumable, Non-Magic, Potion, Tiny","When ingested or put into the blood (coated blade) roll Body. You must get a (5,4,4) or Fall Asleep. The GM rolls a dice, you are asleep for this many hours or until someone wakes you up with damage or 2 dice.",,
Deadly Poison,"Consumable, Non-Magic, Potion, Tiny","When ingested or put into the blood (coated blade) roll Body. You must get a (5,4,4) or take 2 Damage.",,
Soul Rend Poison,"Consumable, Non-Magic, Potion, Tiny","When ingested or put into the blood (coated blade) roll Soul. You must get a (5,4,4) or gain 2 Soul Strain.",,
Paralysis Poison,"Consumable, Non-Magic, Potion, Tiny","When ingested or put into the blood (coated blade) roll Body. You must get a (5,4,4) or be Frozen for 20 seconds (2 turns).",,
Cooking Tools,"Non-Magic, Small",Allows cooking decent or higher meals.,,
Alchemist Tools,"Non-Magic, Small",Allows for crafting potions and healing items (listed above).,,
Smithing Tools,"Non-Magic, Small",Allows for crafting weapons and armors.,,
Thieves’ Tools,"Non-Magic, Small",Allows for picking locks.,,
Tinkers Tools,"Non-Magic, Small",Allows for crafting most other items.,,
Rope,"Non-Magic, Tiny",It’s rope. Typically in 1 Tile increments (5 ft.),,
Small Bag,"Non-Magic, Tiny",Increases items that can be carried by 1/2th [4 bits] of a tile.,,
Backback,"Non-Magic, Small",Increases items that can be carried by 1 tile [8 bits].,,
Cart,"Large, Non-Magic, Vehicle","Can carry 1*2*2 [32 bits] (width, length, height) tiles of stuff.",,
Wagon,"Large, Non-Magic, Vehicle","Allows for crafting while traveling, and can carry 2*4*6 [384 bits] (width, length, height) tiles of stuff.",,
Row Boat,"Large, Non-Magic, Vehicle","Can carry 1*2*2 [32 bits] (width, length, height) tiles of stuff. Only works in water.",,
Big Boat,"Large, Non-Magic, Vehicle","Allows for crafting while traveling, and can carry 2*4*6 [384 bits] (width, length, height) tiles of stuff. Only works in water.",,
Bedroll,"Non-Magic, Small",Comphy sleep on the road.,,
Lantern,"Non-Magic, Tiny",Glows 3 when lit. Lasts 48 hours total before needing to be refueled. Reduce in 1 minute time segments.,,
Fire starters,"Non-Magic, Small",Can start a fire without rolling Nature.,,
Travel Supplies,"Medium, Non-Magic","Contains all the necessities for travel excluding food, including Cooking tools. Fire starters, a Bedroll, a Lanturn, and 10 tiles of Rope (50 ft)",,
Travel Food,"Consumable, Non-Magic, Tiny",An assortment of dry goods meant for travel. It does not taste good.,,
Cheap Meal,"Consumable, Non-Magic, Tiny",A prepared meal. It's better than Travel Food but not by much.,,
Decent Meal,"Consumable, Non-Magic, Tiny",A well prepared meal. Most will find this acceptable.,,
Rich Meal,"Consumable, Non-Magic, Tiny",An expensive meal made for the wealthy. Most will find this tasty.,,
Royal Meal,"Consumable, Non-Magic, Tiny",Kings and Emperors eat this. The best meal money can buy.,,
Map,"Non-Magic, Tiny",A map.,,
Oil,"Consumable, Non-Magic, Tiny",Flammable. Can be used to refuel a Lantern or for cooking.,,
Potion of Life,"Consumable, Magic, Medicine, Potion, Tiny","Revive a dead creature. The creature’s Soul must be free and the creature cannot have been dead for more than 1 month.
Requires a Phoenix Feather, Undying Heart, and Holy Water to craft.",,
Phoenix Feather,"Consumable, Magic, Medicine, Tiny","A golden orange feather that is warm to the touch.
If a Creature dies while in possession of the feather the feather turns to dust, the creature's Health is set to 1, and they are no longer on Death's Door.
This is needed to craft a Potion of Life.",,
Undying Heart,"Consumable, Magic, Medicine, Tiny","A heart that continues to beat even when its body is lost.
Can be Consumed to permanently increase Health by 2.
This is needed to craft a Potion of Life.",,
Rune of Power,"Magic, Rune, Tiny",Attacks inflict an extra 1 Damage,,
Rune of Swiftness,"Magic, Rune, Tiny",Grants the user 1 extra Speed,,
Rune of Fire,"Magic, Rune, Tiny",Makes the object warm to the touch. Attacks inflict an additional 1 Burn.,,
Rune of Ice,"Magic, Rune, Tiny",Makes the object cold to the touch. Attacks inflict an additional 1 Stun.,,
Rune of Air,"Magic, Rune, Tiny",Makes the object feel lighter. Attacks do 1 damage to another creature of your choice within 1 tile of the creature hit.,,
Rune of Earth,"Magic, Rune, Tiny",Makes the object feel heaver. Attacks inflict an additional 2 Knockback.,,
Rune of Souls,"Magic, Rune, Tiny",Increases the Users Max Soul Strain by 1.,,
Rune of Heart,"Magic, Rune, Tiny",On Rest gives the user an extra 3 Temporary Health (this stacks with other On rest gain tmp hp),,
Rune of Hostility,"Magic, Rune, Tiny","When applied, name a type of creature (Humanoid, Beast, Construct, Monstrosity, Undead or Planar). The rune glows when that type of creature becomes hostile within 20 tiles of the rune. It glows brighter the closer it is to the creature, starting with Glow 1 to Glow 4 at its closest.",,
Rune of Friendship,"Magic, Rune, Tiny",When you are within 1 tile of another person using a Rune of Friendship both creatures gain 1 Armor.,,
