Name,Requirements,Dice Cost,Effect
Weapon Attack,Base,##,Use your weapon to hit a target. To hit a target you must give 2 dice. Then when doing damage removing damage from the target based on its Armor and Ward.
Spell Casting,Base,"#, ##, ###, Attack, Contest",Gain Soul Strain to Cast a spell from your Spell list. Soul Strain cost and dice cost depend on spell.
Use an Item,Base,##,"Use an item from your bag, or is within 1 tile of you in the world."
Move,Base,#,Spend a dice to move your Speed. Swimming and Climbing use two tiles instead of 1.
Hide,Base,###,"Roll Thieving, Pick the top 3 dice. A creature must meet or beat these 3 dice values to see you."
Search,Base,Contest,Roll your Core Skill. Pick the top 3 dice. If you meet or beat the dice values of the hidden creature they are no longer Hidden.
Grapple,Base,Contest,Roll a Contested Body Check against a target within 1 tile of you. If you succeed then the target is Grappled.
Push,Base,Contest,Roll a Contested Body Check against a target within 1 tile of you. If you succeed then the target is pushed 3 tiles away from you.
Overwatch,Base,#,"Make a Melee Attack at the first target that moves within your weapon range. "
Lock,Base,"#, P",You may Lock any unused dice at the end of your Turn.
Manipulate,Base,##,"Combine two dice. If the combination is 7 or more, set 1 dice as a 6 and the other as the remainder.
(3+4= 6,1) You can only do this once per turn and only in combat."
MONK 1:,"BROKEN, Body 1, Mind 1, Soul 1",P,"When you get this you may use your Level instead of a set skill plus 2. 
Set your Unarmed Damage to 2. 
Your unarmored Armor Score is the same as Light Armor. You still retain the benefits of being unarmored."
MONK 2:,"BROKEN, Body 2, Mind 2, Soul 2",P,"Your Unarmed Attacks can damage Incorporeal things as if you where Incorporeal.
Set your Unarmed Damage to 4. 
Your unarmored Armor Score is the same as Medium Armor. You still retain the benefits of being unarmored. "
MONK 3:,"BROKEN, Body 3, Mind 3, Soul 3","##, P","You have achieved inner balance, perfect hegemony inside yourself.
Using 2 dice you can purify yourself of curse and various other negative effects.
Additionally, you can not be knocked prone unless you allow it.
Set your Unarmed Damage to 6. 
Your unarmored Armor Score is the same as Heavy Armor. You still retain the benefits of being unarmored. "
Meditate,Base,P,You can spend 1 hour meditating to cleanse half your Soul Strain.
Power Attack,Base,"Attack, P",If a 6 was spent doing a Attack it does an extra damage.
Bloodhound,Body 1,P,"Gain 3 extra Speed when moving to a Marked creature.
This can be taken multiple times to increase the Speed by 2 each time this is taken."
Hearty,Body 1,P,"Gain additional Max Health equal to your Body. "
Brace,"BROKEN, Body 2",P,Take no damage from knockback.
Pitcher,Body 1,P,Double all range for Thrown items.
Whirlwind,Body 2,Attack,Do a Melee Attack against all creatures within 1 tile of you. You can only do this once per turn.
Climber,Body 2,#,Can move your Speed up vertical walls without needing to roll or spending extra Speed.
Bash,Body 2,Attack,Stun 3.
Shredder,Body 2,##,Do Melee Weapon damage removing armor for its damage. This cannot do damage to non Armor or Ward. You can only do this once per turn.
Feint,Body 2,Attack,Make a Weapon Attack. You may add 3 to one of the dice you use for the attack. At the end of your turn gain Stun 1. You can only do this once per turn.
Pushing Strike,Body 2,Attack+#,Do a Melee Attack it has an additional 3 Knockback.
Quick Runner,Body 2,P,Gain 1 extra Speed. This can be taken multiple times to increase the Speed by 1 each time this is taken.
Bull Rush,Body 2,Contest,Move up to half your speed in a strait line in any direction. Do a Body Contest against any creature within 1 tile during the move. On Success knock the creatures back 3 tiles away from your path.
Endure,Body 2,#,Gain 2 Temporary Health. This cannot be done while you have Temporary Health.
Critical Strike,Body 4,Attack,Do a Melee Attack. Roll a dice on a 5 or 6 it does Double damage. Otherwise it does normal damage. This can only be done once per turn.
Deaths Reaper,Body 6,"Attack, P",When you kill a creature with a Melee Attack. Gain an additional Dice.
Deaths Knock,"Body 2, Mind 1","Attack, P",While on Death’s Door you do an extra 2 damage from Weapon Attacks.
Defender,"Body 2, Mind 1","#, P",When you use Overwatch and you hit a creature. That creature’s Speed is set to 0 and gets Webbed this turn.
Fortify,"Body 4, Mind 2",##,Gain a Stack of Armor. You cannot gain more than 3 Armor from this trait per Rest.
Combo Finisher,"Body 4, Mind 2",##,If you hit the same creature twice this turn you can do another Weapon Attack.
Blessed/Cursed Caster,"Body 2, Soul 1",P,"You have been gifted with power. You can cast Bless or Weak Curse using 1 Soul Strain instead of 2, and all spells you cast do an extra 1 damage to Undead."
Powerful Smites,"Body 2, Soul 1","Attack, P","When you cast Smite, increase its damage by half your Soul rounded up."
Protected,"Body 4, Soul 2",P,"When you are put on Death’s Door, gain 2 stacks of Ward."
Spell Combo,"Body 6, Soul 4",Attack+#,"Cast a Damaging Melee Spell. After hitting with this Melee Spell, take the lowest die spent on the spell and the other given die to make a Melee Weapon Attack. This cannot be done more than once per turn."
Mental Mage,Mind 1,P,"If your Max Soul Strain is 0 it becomes 2. If it is higher, increase it by 1."
On Guard,Mind 1,"Attack, P",If you end your turn without Attacking/Damaging anything. Go on Overwatch for free.
Mark,Mind 1,#,Mark a target for 3 turns. (Marked Targets cant become hidden and loose 1 Armor if they have Armor) [Marking an already Marked Target has no effect except to reset the duration of Marked]
Crippling Shot,Mind 2,Attack+#,"Do a Ranged Attack, on hit, reduce the target’s Speed by 2."
Think Ahead,Mind 2,#,Split a dice. Cannot split a 1.
Motivate,Mind 2,#,Target a creature you can see. Give the target the dice you used on this skill. This can be used outside of Combat when rolling a dice for a check.
Dodge,Mind 2,"#, P","When you get hit spend your Locked dice to move 1 tile in any direction, avoiding the attack if you are no longer in range of the attack."
Deadeye,Mind 2,11+#,Spend 2 1’s to hit a target with a Ranged Attack. This cannot be used more than once in a turn. This can be taken multiple times to increase the number of times you can do this in a turn.
Weakspot,Mind 2,P,"When a Creature attacks a Creature you Marked they may add 1 to a dice roll once per turn. "
Marking Shot,Mind 2,Attack+#,"Do a Ranged Attack, it gives them Marked for 2 turns on hit. This cannot be used more than once in a turn."
Command,Mind 2,##,Give an ally the ability to attack (2 dice) or move (1 dice). You cannot use this ability more than once per turn.
Covering Fire,Mind 4,Attack+#,"Make a Ranged Attack. On hit stop the target from being able to do Overwatch, cast spells, or do actions until the start of their turn."
Train of Thought,Mind 4,P,If you don't have a locked die at the end of your turn lock a 3.
Change of Thinking,Mind 4,#,Set a dice to 4. You can do this once per turn.
Size Up,Mind 4,###,"Target a creature you can see. You determine which of the targets Primary Skills (Body | Mind | Soul) are highest and lowest. You do not know the values of these Skills. "
Coordinated Attack,Mind 4,Attack+#,Make a Weapon Attack aginst a single target. An ally within 1 tile of the target may spend their locked dice and the bonus dice spent on this trait to make an attack against the same target.
Fast Hands,Mind 4,P,You ignore the Loading trait of Ranged Weapons.
Enhanced Motivate,Mind 4,P,"When you use Motivate, increase the dice’s value by 1. This effect doesn’t apply if the dice is already 6."
Recalculate,Mind 4,#,"You may flip this dice to show its opposite face. (1⇔6, 2⇔5, 3⇔4) You can only do this once per turn. This can be done outside of Combat for checks."
Collateral,Mind 4,Attack+#,Damage up to 3 creatures in a strait line with a Ranged Weapon Attack.
Outsmart,Mind 6,#,During the enemy’s turn replace a creatures dice with the one given.
Tracking Shot,Mind 6,#,Go on Overwatch with a Ranged Weapon.
Illusion of Choice,Mind 6,P,You can Manipulate twice a turn instead of once.
Kite,"Body 1, Mind 2","Attack, P",When you land an attack. You may then move half your Speed.
Unbroken Sprint,"Body 1, Mind 2",##,Move 3 times your Speed.
Rundown,"Body 1, Mind 2","#, P",When an enemy moves within half your Speed; you can spend your locked dice to move half your Speed.
Reposition,"Body 2, Mind 4","#, P",When an ally attacks; you can spend your locked dice to move half your Speed.
Mind Reader,"Mind 2, Soul 1",Contest,"Attempt to force your mind into another creature's mind that you can see. Roll a Contested Mind check. On success you can read the creatures surface thoughts. Additionally, you can roll another Contested Mind check to look for some information the creature may have memories about. You can only be bound to one creature at a time."
Mind over Matter,"Mind 4, Soul 2","#, P",When you take damage you can spend your Locked dice and gain Stun 1 and negate the damage. This does not negate other effects such as Knockback or Ward removal.
Telekinetic Mind,"Mind 4, Soul 2","#, Contest","You learn the spells Telekinesis, Phantom Fishing Rod, and Poprocks if you don't already know them. Additionally, you can cast Telekinesis for only 1 Soul Strain instead of 3."
Telepathy,Soul 1,#,Bind your mind to a willing creature's mind. You can use your action on later turns to see/hear through their senses or send/receive simple messages. You can only be bound to one creature at a time.
Dreams of the Future,Soul 1,P,At the end of a Rest roll a number of dice equal to your Level and Lock one of the dice.
Yoyo,Soul 1,#,Move your Speed. At the end of the turn teleport back to where you started the turn.
Soul Ward,Soul 2,P,"When you take damage you can gain Ward 1, and gain 2 Soul Strain, then take the damage. This effect cannot happen if you are at max Ward."
Soul Manipulator,Soul 2,P,"While soul is your Core Skill, Triple your Soul when Calculating Max Soul Strain instead of Doubling it."
Split Soul,Soul 2,###,Cleanse 3.
Focused,Soul 4,P,You do not lose Focus from taking damage.
Shaped Explosions,Soul 4,####,"Cast an area of effect spell. When you do, you can choose up to 3 creatures within the area. Those creatures succeed on the save without needing to roll."
Reactive Explosions,Soul 4,P,"When you do an area of effect spell, you can set one of the required dice to 5 (You still spend 3 dice, you just change 1 dice)."
Soul Shielded,Soul 6,P,"You can have a maximum of 4 Ward instead of 3. Additionally, gain an additional Ward on Rest."
Soul Bind,"Body 1, Soul 2","Attack, P",You bind an object or weapon to your very soul. The object gains Returning and if it's a weapon you can do Soul Attack Roll instead of its default Stat attack roll. You must still meet the minimum requirements to use the weapon.
Soul Stealer,"Body 2, Soul 4","Attack, P","When you kill an enemy with a non-spell Melee Attack, Cleanse 2."
Past and Future,"Mind 1, Soul 2",#,You can now Lock two dice. When you would Lock a dice while having two Locked you may pick which Locked dice to replace.
Foresight,"Mind 2, Soul 4",P,"When you lock a dice, increase its value by 2. This effect cannot increase a dice’s value over 6."
Skilled,"BROKEN, Level 1",P,Gain an additional 2 Sub-skill increases.
Skeleton Key,Thieving 1,P,"You can lockpick without needing tools. Additionally, you roll an extra dice when you lockpick with tools."
Backstab,Thieving 3,Attack+#,"Do a Melee Attack, it does an extra 1 Damage. The Attack gains Armor Penetration if it does not already have it. You can only do this once per turn. This can be taken multiple times to increase the bonus damage by 1 each time this is taken."
Silent Scaling,Thieving 3,P,You make no noise while climbing or falling up to half your Speed.
Shadow Walk,Thieving 3,#,While you are Hidden or unseen you may turn Invisible. This Invisibility lasts until the start of your next turn.
Imposing,"Body 1, Thieving 3","Contest, P",You can use Body instead of Charm when deceiving or intimidating someone.
Slap Back,"Body 1, Thieving 3",#,Spend your locked dice when using this trait. Make a Melee attack on a creature who has hit you with a Melee attack.
Strangle Hold,"Body 1, Thieving 3",P,While you have a creature Grappled. They cannot cast spells or speak.
Get Rough,"Body 2, Thieving 5",P,You can push creatures a number of tiles based on your Body +1 instead of just 3 tiles.
"Off Balance ","Body 2, Thieving 5",P,Successful Push actions reduce the targets Speed by half.
"Larceny ","Body 2, Thieving 5",Contest,Roll a contested Body Check against a target within 1 tile of you. On success you wrestle an item away from the target.
Redirect,"Mind 1, Thieving 3","#, P",When you get hit spend your Locked dice to redirect the attack to a creature within 1 tile of you. You cannot do this if there are no creatures within 1 tile of you.
In the Shadows,"Mind 1, Thieving 3","Attack, P",When you kill a creature while hidden you do not become revealed.
Spell Copying,"Soul 1, Thieving 3",P,"If you see a spell being cast by someone else, you temporarily know that spell for 60 seconds (6 turns) regardless of if you know the spell innately."
Spell Disarmament,"Soul 1, Thieving 3",##,You can cast Dispel Magic with Thieves’ tools without gaining Soul Strain.
Silencing Strike,"Soul 1, Thieving 3",Attack+#,Make a Weapon Attack. Until the end of the target’s next turn they are unable to cast spells.
Spell Thief,"Soul 2, Thieving 5","Contest, P",If you successfully Counterspell a Spell. You can Cast that spell for half its Soul Strain cost (rounded up) on your next turn.
Body Possession,"Soul 2, Thieving 5",###,"You can take over another humanoids living body for up to 10 minutes. The effected creature must be unconscious and will wake up if it takes damage. At the end of the effect, if you choose to leave the body, or if the creature wakes up from damage, you are booted to the nearest safe tile next to the creature. You cannot enter the same creature for 1 day after using this effect on them."
Hunter,Nature 1,P,"Roll Nature instead of Thievery when Hiding. "
Nature Speak,Nature 1,P,"You can have simple conversations with animals, and can use Nature instead of Charm when talking to them."
Natures Friend,Nature 3,"Attack, P",You can cast Beast Bond without gaining Soul Strain.
Draw Roots,"Body 1, Nature 3",#,Heal 1. You must be standing on soil or stone to do this. You can do this a number of times equal to your Nature stat (max 6) per Rest.
Natures Bind,"Body 1, Nature 3","Contest, P",You can Grapple someone using earth or plants within 4 tiles of you instead of having touch. All other rules still apply to the Grapple.
Thorny Armor,"Body 1, Nature 3","#, P",You may spend your Locked dice to do Nature (Rounded down) to a creature that has hit you with a Melee attack.
Marked as Prey,"Mind 1, Nature 3",P,"Targets you Mark, take 1 extra damage from all sources while Marked."
Hunters Pride,"Mind 2, Nature 5",P,"You know the location of all Marked enemies you have marked regardless of distance. Additionally, Marks you place only disappear once you dispel it or the Marked creature dies."
Animal Form,"Nature 3, Soul 1",##,"You can transform into an animal that you have seen. The creature must have a Difficulty Rating (DR) your Nature or lower. The Shapeshift lasts until dispelled or you die. While transformed you replace your Stats, Skills, Armor and Speed with the Animals. Your Health and Ward remain unchanged."
Ignite,"Nature 3, Soul 1",P,Your damaging cantrips apply 1 stack of Burn.
Frostbite,"Nature 3, Soul 1",P,"When you effect a creature with Stun, Frozen, or effects that reduce movement, deal 1 damage to them."
Crystalize Soul,"Nature 3, Soul 1",P,Whenever you gain Soul Strain from the result of casting a spell. Gain 1 Armor for every 2 Soul Strain gained. This effect goes away the next time you are hit or after 10 minutes.
Improved Animal Form,"Nature 5, Soul 2",P,When you Transform through the use of the Animal Form Trait you can gain half of the Creature’s Health as Temporary Health. You can do this once per Rest. The Temporary Health does not go away if you transform back into your normal self.
Stronger Flames,"Nature 5, Soul 2",P,Non-cantrip Spells that apply Burn apply an additional stack of Burn.
Frozen Bomb,"Nature 5, Soul 2",###,"Target up to 3 Creatures you can see. Those targets loose all stacks of Stun, and Frozen. Burst 1 centered on those creatures.  All creatures within this area creatures take an amount of damage equal to the Stun stacks lost."
Updraft,"Nature 5, Soul 2",P,Whenever you gain Soul Strain you gain the Flight trait (Move your speed in the air) until end of your turn.
Taunt,Charm 3,Contest,Make a Contested Charm roll against a creature you can see. On success the creature cannot willingly move away from you and must spend a dice to move closer if possible.
Fearsome Roar,"Body 1, Charm 3",###,"All targets within 1 tile of you must make a Charm Roll against the 3 dice given when casting. All creatures that failed cannot willingly move towards you, and must spend a dice to move away from you."
Death's Howl,"Body 2, Charm 5",P,"When you are put on Death’s Door, release a Howl within 3 tiles of you. All creatures cannot willingly move towards you, and must spend a dice to move away from you. "
Distract,"Charm 3, Mind 1",Contest,Make a distraction within Range 6. Make a Contested Charm roll against a creature you can see. On success the creature cannot willingly move away from the distraction and must spend a dice to move closer if possible.
Misdirection,"Charm 5, Mind 2",##,When talking to a creature you can state a clearly false statement. Then do a contested Charm roll against a creature. On success the creature believes whatever sentence you said regardless of how true it was. This effect lasts for 1 hour. After which they may or may not still believe the lie.
Pull the Strings,"Charm 5, Mind 2",Attack,"Choose a creature within range, They immediately make a weapon attack against another creature of your choice within their weapon range. They use the dice given for this attack."
Ventriloquism,"Charm 3, Soul 1",Contest,Do a contested Soul roll against a creature within range 6. On success you make the target recites a sentence as well as it can and in the same tone. They believe the sentence was their own and have no memory of the magic. On failure they someone tried to cast magic on them but not what it was or who cast it.
Positive Influence,"Charm 5, Soul 2",P,When you cast a spell on an ally then their next dice roll is increased by 1. This does not go off on a 6.
Negative Influence,"Charm 5, Soul 2",P,When you cast a spell on an enemy then their next dice roll is decreased by 1. This does not go off on a 1.
Intrusive Soul,"Charm 5, Soul 2","Contest, P",You can cast Intrusive Thoughts without gaining Soul Strain. Additionally you can use Charm instead of Soul when using the save.
Goad,"Body 1, Charm 5, Mind 1",Contest,"Make a Contested Charm roll against a creature you can see. On success the creature must make an attack against you, if its not in range it must spend a dice to move closer if possible. If the attack hits you gain Ward  1 then take the damage."
Potion Maker,Medicine 1,P,You can use Medicine instead of Crafting when making potions.
Battle Medic,Medicine 1,P,"You gain 4 Speed when moving to an ally who has 2 or less health.
This can be taken multiple times to increase the Speed by 3 each time this is taken."
Blood Magic,"Body 1, Medicine 3",P,"You gain an amount of Spells equal to twice your Medicine. (When you cast a spell while at max Soul Strain, you take an amount of damage equal to how far you go over your max Soul Strain when casting."
